gene	KOG_class
LOC101852761	Signal transduction mechanisms 
LOC101852994	Signal transduction mechanisms 
LOC101854080	Transcription 
LOC101854322	Transcription 
LOC101854945	Carbohydrate transport and metabolism 
LOC101855184	RNA processing and modification 
LOC101856801	Carbohydrate transport and metabolism 
LOC101857248	Posttranslational modification, protein turnover, chaperones 
LOC101858262	Posttranslational modification, protein turnover, chaperones 
LOC101858624	NA
LOC101860973	NA
LOC101863015	RNA processing and modification 
LOC101863259	Signal transduction mechanisms 
LOC101863505	NA
LOC101863977	Posttranslational modification, protein turnover, chaperones 
LOC101864219	Energy production and conversion 
LOC101864456	Energy production and conversion 
LOC101845318	Lipid transport and metabolism 
LOC101845845	Lipid transport and metabolism 
LOC101846575	Chromatin structure and dynamics 
LOC101847033	NA
LOC101847256	Transcription 
LOC101847256	Signal transduction mechanisms 
LOC101847256	Lipid transport and metabolism 
LOC101847256	Posttranslational modification, protein turnover, chaperones 
LOC101847650	Signal transduction mechanisms 
LOC101848881	Signal transduction mechanisms 
LOC101849124	Transcription 
LOC101849369	Lipid transport and metabolism 
LOC101849839	Posttranslational modification, protein turnover, chaperones 
LOC101850079	NA
LOC101851036	Signal transduction mechanisms 
LOC101853081	NA
LOC101853310	Intracellular trafficking, secretion, and vesicular transport 
LOC101854251	Secondary metabolites biosynthesis, transport and catabolism 
LOC101854494	NA
LOC101854713	Chromatin structure and dynamics 
LOC101855333	Signal transduction mechanisms 
LOC101855557	Transcription 
LOC101855785	NA
LOC101856018	Carbohydrate transport and metabolism 
LOC101856650	Posttranslational modification, protein turnover, chaperones 
LOC101856887	Inorganic ion transport and metabolism 
LOC101857106	NA
LOC101857560	Signal transduction mechanisms 
LOC118477129	Signal transduction mechanisms 
LOC101859849	Inorganic ion transport and metabolism 
LOC101860565	NA
LOC101861035	NA
LOC101862109	Carbohydrate transport and metabolism 
LOC101862574	Intracellular trafficking, secretion, and vesicular transport 
LOC101862792	Carbohydrate transport and metabolism 
LOC101863260	Lipid transport and metabolism 
LOC101863506	Translation, ribosomal structure and biogenesis 
LOC101863892	Energy production and conversion 
LOC101864138	Energy production and conversion 
LOC101864382	Energy production and conversion 
LOC101845917	Posttranslational modification, protein turnover, chaperones 
LOC101846129	NA
LOC101846346	Energy production and conversion 
LOC101846576	Signal transduction mechanisms 
LOC101846576	Posttranslational modification, protein turnover, chaperones 
LOC101846957	NA
LOC101847419	NA
LOC101852014	Signal transduction mechanisms 
LOC101852237	Amino acid transport and metabolism 
LOC101852762	RNA processing and modification 
LOC101852995	Intracellular trafficking, secretion, and vesicular transport 
LOC101853232	Energy production and conversion 
LOC101853456	RNA processing and modification 
LOC101853850	Signal transduction mechanisms 
LOC101854081	Signal transduction mechanisms 
LOC101854323	Transcription 
LOC101855638	Replication, recombination and repair 
LOC101855866	Transcription 
LOC101856508	NA
LOC101856730	NA
LOC101857249	Replication, recombination and repair 
LOC101857483	Signal transduction mechanisms 
LOC101857872	NA
LOC101858103	Carbohydrate transport and metabolism 
LOC101858486	Carbohydrate transport and metabolism 
LOC101859098	Transcription 
LOC101859098	Replication, recombination and repair 
LOC101859326	Replication, recombination and repair 
LOC101859567	Intracellular trafficking, secretion, and vesicular transport 
LOC101859567	Cell wall/membrane/envelope biogenesis 
LOC101859931	NA
LOC101861119	NA
LOC101861359	Cell cycle control, cell division, chromosome partitioning 
LOC101861580	Lipid transport and metabolism 
LOC101861580	Secondary metabolites biosynthesis, transport and catabolism 
LOC101861809	NA
LOC101862266	Carbohydrate transport and metabolism 
LOC101863429	Lipid transport and metabolism 
LOC101864061	Intracellular trafficking, secretion, and vesicular transport 
LOC101864383	Extracellular structures 
LOC101864383	Carbohydrate transport and metabolism 
LOC101864383	Cell wall/membrane/envelope biogenesis 
LOC101864612	Energy production and conversion 
LOC101845089	Transcription 
LOC101845320	NA
LOC101846646	NA
LOC101846879	NA
LOC101847953	Posttranslational modification, protein turnover, chaperones 
LOC101848198	Cell cycle control, cell division, chromosome partitioning 
LOC101848198	Transcription 
LOC101848965	NA
LOC101849204	NA
LOC101849455	Intracellular trafficking, secretion, and vesicular transport 
LOC101850080	NA
LOC101850644	NA
LOC101850883	RNA processing and modification 
LOC101851346	NA
LOC101852403	Intracellular trafficking, secretion, and vesicular transport 
LOC101853233	
LOC101855786	Inorganic ion transport and metabolism 
LOC101856261	Intracellular trafficking, secretion, and vesicular transport 
LOC101856509	NA
LOC101856731	NA
LOC101857107	Signal transduction mechanisms 
LOC101857788	NA
LOC101858777	Signal transduction mechanisms 
LOC101859009	Replication, recombination and repair 
LOC101859238	Nucleotide transport and metabolism 
LOC101859702	Posttranslational modification, protein turnover, chaperones 
LOC101860649	Nucleotide transport and metabolism 
LOC101860649	Carbohydrate transport and metabolism 
LOC101863181	Carbohydrate transport and metabolism 
LOC101863665	Signal transduction mechanisms 
LOC101864384	NA
LOC101845463	NA
LOC101845686	Amino acid transport and metabolism 
LOC101846730	NA
LOC101847104	Intracellular trafficking, secretion, and vesicular transport 
LOC101847335	NA
LOC101848042	Transcription 
LOC101850329	Posttranslational modification, protein turnover, chaperones 
LOC101851037	Cytoskeleton 
LOC101852846	NA
LOC101853549	Secondary metabolites biosynthesis, transport and catabolism 
LOC101854015	NA
LOC101854495	NA
LOC101854714	NA
LOC101856340	Posttranslational modification, protein turnover, chaperones 
LOC101857404	Posttranslational modification, protein turnover, chaperones 
LOC101858179	Posttranslational modification, protein turnover, chaperones 
LOC101858778	Intracellular trafficking, secretion, and vesicular transport 
LOC101859010	Translation, ribosomal structure and biogenesis 
LOC101860092	Transcription 
LOC101861277	Defense mechanisms 
LOC101861501	Carbohydrate transport and metabolism 
LOC101862499	Transcription 
LOC101862870	Signal transduction mechanisms 
LOC101862870	Cytoskeleton 
LOC101864220	RNA processing and modification 
LOC101864613	NA
LOC101845918	Amino acid transport and metabolism 
LOC101848584	NA
LOC101849047	Signal transduction mechanisms 
LOC101849286	Cytoskeleton 
LOC101851122	Coenzyme transport and metabolism 
LOC101851347	Posttranslational modification, protein turnover, chaperones 
LOC101851575	NA
LOC101851801	Signal transduction mechanisms 
LOC101852016	Transcription 
LOC101852470	NA
LOC101852688	NA
LOC101853083	
LOC101853312	NA
LOC101853692	Signal transduction mechanisms 
LOC101853931	NA
LOC101854163	Energy production and conversion 
LOC101854407	Signal transduction mechanisms 
LOC101854635	NA
LOC101854862	Energy production and conversion 
LOC101856262	Intracellular trafficking, secretion, and vesicular transport 
LOC101856963	Signal transduction mechanisms 
LOC101858934	NA
LOC101859168	Lipid transport and metabolism 
LOC101859402	Translation, ribosomal structure and biogenesis 
LOC101859633	Intracellular trafficking, secretion, and vesicular transport 
LOC101859850	NA
LOC101860566	Cytoskeleton 
LOC101860566	Signal transduction mechanisms 
LOC101861121	NA
LOC101861361	NA
LOC101862110	Posttranslational modification, protein turnover, chaperones 
LOC101862343	Posttranslational modification, protein turnover, chaperones 
LOC101862575	Posttranslational modification, protein turnover, chaperones 
LOC101863581	Transcription 
LOC101863812	Cell cycle control, cell division, chromosome partitioning 
LOC101863812	Cytoskeleton 
LOC101863812	Signal transduction mechanisms 
LOC101864062	Transcription 
LOC101864062	Posttranslational modification, protein turnover, chaperones 
LOC101864062	Signal transduction mechanisms 
LOC101864295	Posttranslational modification, protein turnover, chaperones 
LOC101864686	Transcription 
LOC101846422	NA
LOC101846880	Posttranslational modification, protein turnover, chaperones 
LOC101847105	Transcription 
LOC101847105	Cell cycle control, cell division, chromosome partitioning 
LOC101847105	Replication, recombination and repair 
LOC101847871	NA
LOC101848289	Secondary metabolites biosynthesis, transport and catabolism 
LOC101850885	Posttranslational modification, protein turnover, chaperones 
LOC101851123	NA
LOC101851348	Signal transduction mechanisms 
LOC101851730	Secondary metabolites biosynthesis, transport and catabolism 
LOC101852318	RNA processing and modification 
LOC101852847	NA
LOC101853084	Carbohydrate transport and metabolism 
LOC101853313	Carbohydrate transport and metabolism 
LOC101853932	Cell wall/membrane/envelope biogenesis 
LOC101854164	NA
LOC101855421	NA
LOC101855943	Posttranslational modification, protein turnover, chaperones 
LOC101856733	Energy production and conversion 
LOC101857108	Signal transduction mechanisms 
LOC101858708	Posttranslational modification, protein turnover, chaperones 
LOC101858935	Posttranslational modification, protein turnover, chaperones 
LOC101859782	Signal transduction mechanisms 
LOC101860015	NA
LOC101860408	Carbohydrate transport and metabolism 
LOC101861657	Energy production and conversion 
LOC101861887	Energy production and conversion 
LOC101862111	Lipid transport and metabolism 
LOC101862344	Transcription 
LOC101862576	NA
LOC101862794	NA
LOC101863263	Lipid transport and metabolism 
LOC101864687	Posttranslational modification, protein turnover, chaperones 
LOC101845166	NA
LOC101846579	Signal transduction mechanisms 
LOC101849126	NA
LOC101849612	Coenzyme transport and metabolism 
LOC101849612	Energy production and conversion 
LOC101849842	NA
LOC101850081	Transcription 
LOC101850330	Nucleotide transport and metabolism 
LOC101850715	Posttranslational modification, protein turnover, chaperones 
LOC101850951	Nucleotide transport and metabolism 
LOC101851185	Transcription 
LOC101851577	Replication, recombination and repair 
LOC101851802	Signal transduction mechanisms 
LOC101852017	RNA processing and modification 
LOC101852240	Energy production and conversion 
LOC101852471	Translation, ribosomal structure and biogenesis 
LOC101852689	NA
LOC101852922	Secondary metabolites biosynthesis, transport and catabolism 
LOC101852922	Lipid transport and metabolism 
LOC101853550	Cytoskeleton 
LOC101854496	Posttranslational modification, protein turnover, chaperones 
LOC101854715	Posttranslational modification, protein turnover, chaperones 
LOC101855336	Posttranslational modification, protein turnover, chaperones 
LOC101855559	RNA processing and modification 
LOC101855559	Translation, ribosomal structure and biogenesis 
LOC101855788	Carbohydrate transport and metabolism 
LOC101856175	Transcription 
LOC101857563	Intracellular trafficking, secretion, and vesicular transport 
LOC100533429	Translation, ribosomal structure and biogenesis 
LOC101858625	Intracellular trafficking, secretion, and vesicular transport 
LOC101859011	Posttranslational modification, protein turnover, chaperones 
LOC101859239	Translation, ribosomal structure and biogenesis 
LOC101861658	NA
LOC101862577	NA
LOC101863182	NA
LOC101863813	Signal transduction mechanisms 
LOC101864459	NA
LOC101864688	Energy production and conversion 
LOC101845167	Translation, ribosomal structure and biogenesis 
LOC101845398	Secondary metabolites biosynthesis, transport and catabolism 
LOC101845848	NA
LOC101846071	NA
LOC101846423	Amino acid transport and metabolism 
LOC101846813	NA
LOC101848201	Intracellular trafficking, secretion, and vesicular transport 
LOC101849372	Secondary metabolites biosynthesis, transport and catabolism 
LOC101851264	
LOC101852923	NA
LOC101853160	NA
LOC101853785	Translation, ribosomal structure and biogenesis 
LOC101853785	Nuclear structure 
LOC101853785	Intracellular trafficking, secretion, and vesicular transport 
LOC101854324	RNA processing and modification 
LOC101854567	NA
LOC101854791	Extracellular structures 
LOC101855944	Defense mechanisms 
LOC101855944	Signal transduction mechanisms 
LOC101858936	Cytoskeleton 
LOC101859170	Signal transduction mechanisms 
LOC101859403	NA
LOC118477115	Signal transduction mechanisms 
LOC118477115	Replication, recombination and repair 
LOC118477115	Transcription 
LOC101861122	Inorganic ion transport and metabolism 
LOC101861362	Signal transduction mechanisms 
LOC101861362	Cytoskeleton 
LOC101862500	Lipid transport and metabolism 
LOC101862726	Posttranslational modification, protein turnover, chaperones 
LOC101864385	Inorganic ion transport and metabolism 
LOC101864385	Nucleotide transport and metabolism 
LOC101845542	Secondary metabolites biosynthesis, transport and catabolism 
LOC101845769	Lipid transport and metabolism 
LOC101847582	NA
LOC101847819	RNA processing and modification 
LOC101848746	Transcription 
LOC101848966	Translation, ribosomal structure and biogenesis 
LOC101850166	NA
LOC101850413	RNA processing and modification 
LOC101850886	NA
LOC101851124	Intracellular trafficking, secretion, and vesicular transport 
LOC101851124	Lipid transport and metabolism 
LOC101851803	Signal transduction mechanisms 
LOC101855018	Carbohydrate transport and metabolism 
LOC101855560	Translation, ribosomal structure and biogenesis 
LOC101855945	Energy production and conversion 
LOC101856341	Posttranslational modification, protein turnover, chaperones 
LOC101856574	Amino acid transport and metabolism 
LOC101857565	Signal transduction mechanisms 
LOC101858626	NA
LOC101859327	Secondary metabolites biosynthesis, transport and catabolism 
LOC101859568	
LOC101859783	Lipid transport and metabolism 
LOC101860168	Cytoskeleton 
LOC101860410	Cytoskeleton 
LOC101860807	Transcription 
LOC101861036	Signal transduction mechanisms 
LOC101861278	RNA processing and modification 
LOC101861502	NA
LOC101862871	Signal transduction mechanisms 
LOC101863814	Carbohydrate transport and metabolism 
LOC101864064	Secondary metabolites biosynthesis, transport and catabolism 
LOC101845689	NA
LOC101845920	NA
LOC101846132	NA
LOC101847107	Translation, ribosomal structure and biogenesis 
LOC101848585	NA
LOC101849128	Translation, ribosomal structure and biogenesis 
LOC101849844	Energy production and conversion 
LOC101850716	Secondary metabolites biosynthesis, transport and catabolism 
LOC101851864	NA
LOC101852093	NA
LOC101853934	NA
LOC101854863	Transcription 
LOC101855251	Signal transduction mechanisms 
LOC101855251	Cytoskeleton 
LOC101855868	Amino acid transport and metabolism 
LOC101855868	Signal transduction mechanisms 
LOC101855868	Inorganic ion transport and metabolism 
LOC101856734	NA
LOC101857110	Carbohydrate transport and metabolism 
LOC101857333	Translation, ribosomal structure and biogenesis 
LOC101857793	NA
LOC101858406	Posttranslational modification, protein turnover, chaperones 
LOC101859703	NA
LOC101859933	Posttranslational modification, protein turnover, chaperones 
LOC101860974	Signal transduction mechanisms 
LOC101861888	Transcription 
LOC101863979	Translation, ribosomal structure and biogenesis 
LOC101864222	Translation, ribosomal structure and biogenesis 
LOC101864615	NA
LOC101845690	Lipid transport and metabolism 
LOC101845921	Inorganic ion transport and metabolism 
LOC101846133	NA
LOC101847108	Translation, ribosomal structure and biogenesis 
LOC101847338	NA
LOC101847723	Carbohydrate transport and metabolism 
LOC101848349	NA
LOC101848586	NA
LOC101848815	RNA processing and modification 
LOC101849048	Intracellular trafficking, secretion, and vesicular transport 
LOC101849615	Carbohydrate transport and metabolism 
LOC101850887	Amino acid transport and metabolism 
LOC101850887	Carbohydrate transport and metabolism 
LOC101851265	Replication, recombination and repair 
LOC101852174	Transcription 
LOC101852174	Replication, recombination and repair 
LOC101852174	Signal transduction mechanisms 
LOC101852404	Transcription 
LOC101852404	Replication, recombination and repair 
LOC101852404	Signal transduction mechanisms 
LOC101853085	Chromatin structure and dynamics 
LOC101853314	Posttranslational modification, protein turnover, chaperones 
LOC101853786	Lipid transport and metabolism 
LOC101853786	Signal transduction mechanisms 
LOC101854948	Energy production and conversion 
LOC101855187	Coenzyme transport and metabolism 
LOC101855422	Replication, recombination and repair 
LOC101856343	NA
LOC101857639	Signal transduction mechanisms 
LOC101857873	Translation, ribosomal structure and biogenesis 
LOC101858104	Translation, ribosomal structure and biogenesis 
LOC101858340	NA
LOC101858709	Lipid transport and metabolism 
LOC101858937	NA
LOC101859404	Cell wall/membrane/envelope biogenesis 
LOC101859404	Posttranslational modification, protein turnover, chaperones 
LOC101859404	Signal transduction mechanisms 
LOC101859784	Posttranslational modification, protein turnover, chaperones 
LOC101859784	Cell wall/membrane/envelope biogenesis 
LOC101860170	NA
LOC101860412	RNA processing and modification 
LOC101860893	Coenzyme transport and metabolism 
LOC101860893	Energy production and conversion 
LOC101861660	Energy production and conversion 
LOC101862032	Posttranslational modification, protein turnover, chaperones 
LOC101862032	Intracellular trafficking, secretion, and vesicular transport 
LOC101863265	Signal transduction mechanisms 
LOC101864689	Translation, ribosomal structure and biogenesis 
LOC101845399	Intracellular trafficking, secretion, and vesicular transport 
LOC101846072	Signal transduction mechanisms 
LOC101847420	Secondary metabolites biosynthesis, transport and catabolism 
LOC101847420	Lipid transport and metabolism 
LOC101847653	Posttranslational modification, protein turnover, chaperones 
LOC101847872	NA
LOC101848108	Signal transduction mechanisms 
LOC101848747	Amino acid transport and metabolism 
LOC101848967	NA
LOC101849207	Intracellular trafficking, secretion, and vesicular transport 
LOC101852766	NA
LOC101852998	Chromatin structure and dynamics 
LOC101853235	Intracellular trafficking, secretion, and vesicular transport 
LOC101853787	Cytoskeleton 
LOC101853787	Intracellular trafficking, secretion, and vesicular transport 
LOC101854409	NA
LOC101854949	Cytoskeleton 
LOC101856177	NA
LOC101856423	NA
LOC101856653	Posttranslational modification, protein turnover, chaperones 
LOC101856890	Posttranslational modification, protein turnover, chaperones 
LOC101857111	Extracellular structures 
LOC101857484	Posttranslational modification, protein turnover, chaperones 
LOC101860171	Cell cycle control, cell division, chromosome partitioning 
LOC101860808	Nuclear structure 
LOC101861363	NA
LOC101861889	NA
LOC101862113	Posttranslational modification, protein turnover, chaperones 
LOC101862348	Replication, recombination and repair 
LOC101862580	Inorganic ion transport and metabolism 
LOC101862944	Secondary metabolites biosynthesis, transport and catabolism 
LOC101863184	Translation, ribosomal structure and biogenesis 
LOC101864141	Signal transduction mechanisms 
LOC101845770	NA
LOC101846134	NA
LOC100533359	Posttranslational modification, protein turnover, chaperones 
LOC101846732	NA
LOC101846960	Lipid transport and metabolism 
LOC101847820	Signal transduction mechanisms 
LOC101850084	Intracellular trafficking, secretion, and vesicular transport 
LOC101850561	Replication, recombination and repair 
LOC101850801	NA
LOC101851266	NA
LOC101851947	NA
LOC101853553	Energy production and conversion 
LOC101853935	Transcription 
LOC101853935	Replication, recombination and repair 
LOC101854794	NA
LOC101855869	Nuclear structure 
LOC101856654	Translation, ribosomal structure and biogenesis 
LOC101856891	Nucleotide transport and metabolism 
LOC101857567	Posttranslational modification, protein turnover, chaperones 
LOC101857794	NA
LOC101858024	Cytoskeleton 
LOC101859100	NA
LOC101859569	RNA processing and modification 
LOC101861811	Posttranslational modification, protein turnover, chaperones 
LOC101862033	NA
LOC101862501	NA
LOC101863896	Signal transduction mechanisms 
LOC101864617	Cytoskeleton 
LOC101845092	Cytoskeleton 
LOC101845323	Intracellular trafficking, secretion, and vesicular transport 
LOC101845544	NA
LOC101845771	NA
LOC101845998	Replication, recombination and repair 
LOC101846211	Intracellular trafficking, secretion, and vesicular transport 
LOC101846211	Transcription 
LOC101846580	Signal transduction mechanisms 
LOC101847422	Intracellular trafficking, secretion, and vesicular transport 
LOC101848202	Nucleotide transport and metabolism 
LOC101848431	Coenzyme transport and metabolism 
LOC101848816	Energy production and conversion 
LOC101849050	Translation, ribosomal structure and biogenesis 
LOC101849287	NA
LOC101849691	NA
LOC101849925	Carbohydrate transport and metabolism 
LOC101850168	Cell cycle control, cell division, chromosome partitioning 
LOC101851186	Posttranslational modification, protein turnover, chaperones 
LOC101851406	Lipid transport and metabolism 
LOC101852321	Secondary metabolites biosynthesis, transport and catabolism 
LOC101852691	Chromatin structure and dynamics 
LOC101852925	Transcription 
LOC101853459	Amino acid transport and metabolism 
LOC101855099	NA
LOC101856892	NA
LOC101857251	Nucleotide transport and metabolism 
LOC101857640	RNA processing and modification 
LOC101857874	Translation, ribosomal structure and biogenesis 
LOC101858627	Cell wall/membrane/envelope biogenesis 
LOC101860094	Translation, ribosomal structure and biogenesis 
LOC101862182	Translation, ribosomal structure and biogenesis 
LOC101862412	Translation, ribosomal structure and biogenesis 
LOC101863342	Extracellular structures 
LOC101863342	Signal transduction mechanisms 
LOC101863584	Transcription 
LOC101863981	Transcription 
LOC101845999	Intracellular trafficking, secretion, and vesicular transport 
LOC101846961	Translation, ribosomal structure and biogenesis 
LOC101847583	Energy production and conversion 
LOC101847956	Cytoskeleton 
LOC101848352	Lipid transport and metabolism 
LOC101848587	Translation, ribosomal structure and biogenesis 
LOC101848968	NA
LOC101849209	Transcription 
LOC101850002	Cytoskeleton 
LOC101850245	Posttranslational modification, protein turnover, chaperones 
LOC101850717	Carbohydrate transport and metabolism 
LOC101852767	Replication, recombination and repair 
LOC101853385	Signal transduction mechanisms 
LOC101855722	Energy production and conversion 
LOC101855946	RNA processing and modification 
LOC101856178	Chromatin structure and dynamics 
LOC101857568	Signal transduction mechanisms 
LOC101857795	Carbohydrate transport and metabolism 
LOC101858025	Signal transduction mechanisms 
LOC101858267	Signal transduction mechanisms 
LOC101858710	NA
LOC101860568	Posttranslational modification, protein turnover, chaperones 
LOC101861812	Amino acid transport and metabolism 
LOC101862034	NA
LOC101862269	Lipid transport and metabolism 
LOC101862946	NA
LOC101864065	Cell cycle control, cell division, chromosome partitioning 
LOC101864298	Carbohydrate transport and metabolism 
LOC101845324	Cell cycle control, cell division, chromosome partitioning 
LOC101845545	Lipid transport and metabolism 
LOC101846349	Transcription 
LOC101847109	Cytoskeleton 
LOC101848432	Signal transduction mechanisms 
LOC101852242	Carbohydrate transport and metabolism 
LOC101852473	Nuclear structure 
LOC101852692	Posttranslational modification, protein turnover, chaperones 
LOC101857113	NA
LOC101857336	Transcription 
LOC101857336	Signal transduction mechanisms 
LOC101857336	Replication, recombination and repair 
LOC101857796	Signal transduction mechanisms 
LOC101858026	Lipid transport and metabolism 
LOC101858268	Posttranslational modification, protein turnover, chaperones 
LOC101858491	Carbohydrate transport and metabolism 
LOC101858711	Defense mechanisms 
LOC101858939	Signal transduction mechanisms 
LOC101858939	Replication, recombination and repair 
LOC101858939	Transcription 
LOC101861505	Signal transduction mechanisms 
LOC101861727	Intracellular trafficking, secretion, and vesicular transport 
LOC101861951	Intracellular trafficking, secretion, and vesicular transport 
LOC101862183	Transcription 
LOC101862648	NA
LOC101863104	Replication, recombination and repair 
LOC101863104	Signal transduction mechanisms 
LOC101863511	Signal transduction mechanisms 
LOC101863897	Signal transduction mechanisms 
LOC101845325	Signal transduction mechanisms 
LOC101847874	NA
LOC101848817	Signal transduction mechanisms 
LOC101850085	Carbohydrate transport and metabolism 
LOC101851188	Carbohydrate transport and metabolism 
LOC101851408	Signal transduction mechanisms 
LOC101851805	
LOC101853386	Posttranslational modification, protein turnover, chaperones 
LOC101853618	Amino acid transport and metabolism 
LOC101854326	NA
LOC101856180	Signal transduction mechanisms 
LOC101856427	Posttranslational modification, protein turnover, chaperones 
LOC101856804	Cell wall/membrane/envelope biogenesis 
LOC101857022	Posttranslational modification, protein turnover, chaperones 
LOC101857405	Posttranslational modification, protein turnover, chaperones 
LOC101857642	Carbohydrate transport and metabolism 
LOC101857875	Posttranslational modification, protein turnover, chaperones 
LOC101858106	Cytoskeleton 
LOC101858940	Replication, recombination and repair 
LOC101859173	NA
LOC101859638	Amino acid transport and metabolism 
LOC101859856	Intracellular trafficking, secretion, and vesicular transport 
LOC101860249	Coenzyme transport and metabolism 
LOC101860654	Intracellular trafficking, secretion, and vesicular transport 
LOC101860654	Nuclear structure 
LOC101860894	Transcription 
LOC101861582	Replication, recombination and repair 
LOC101862270	Posttranslational modification, protein turnover, chaperones 
LOC101845546	Lipid transport and metabolism 
LOC101846651	Amino acid transport and metabolism 
LOC101846882	Translation, ribosomal structure and biogenesis 
LOC101847724	RNA processing and modification 
LOC101848203	NA
LOC101848433	Posttranslational modification, protein turnover, chaperones 
LOC101848433	Cell cycle control, cell division, chromosome partitioning 
LOC101848660	Lipid transport and metabolism 
LOC101848660	Posttranslational modification, protein turnover, chaperones 
LOC101848885	
LOC101849129	Signal transduction mechanisms 
LOC101849129	Cytoskeleton 
LOC101849129	Cell cycle control, cell division, chromosome partitioning 
LOC101853554	NA
LOC101854170	RNA processing and modification 
LOC101854412	Signal transduction mechanisms 
LOC101854639	RNA processing and modification 
LOC101854865	Posttranslational modification, protein turnover, chaperones 
LOC101855100	Secondary metabolites biosynthesis, transport and catabolism 
LOC101855339	Translation, ribosomal structure and biogenesis 
LOC101856181	RNA processing and modification 
LOC101856895	Signal transduction mechanisms 
LOC101856895	Intracellular trafficking, secretion, and vesicular transport 
LOC101857114	Signal transduction mechanisms 
LOC101857337	NA
LOC101857797	Carbohydrate transport and metabolism 
LOC101858027	Posttranslational modification, protein turnover, chaperones 
LOC101858269	NA
LOC101859014	Energy production and conversion 
LOC101859242	Posttranslational modification, protein turnover, chaperones 
LOC101859482	NA
LOC101860813	Intracellular trafficking, secretion, and vesicular transport 
LOC101861041	Intracellular trafficking, secretion, and vesicular transport 
LOC101863020	Cell wall/membrane/envelope biogenesis 
LOC101863266	RNA processing and modification 
LOC101863670	Intracellular trafficking, secretion, and vesicular transport 
LOC101863670	Posttranslational modification, protein turnover, chaperones 
LOC101863899	Cell wall/membrane/envelope biogenesis 
LOC101864389	RNA processing and modification 
LOC101864619	RNA processing and modification 
LOC101845238	Signal transduction mechanisms 
LOC101847110	Cell wall/membrane/envelope biogenesis 
LOC101847585	Cell wall/membrane/envelope biogenesis 
LOC101848886	NA
LOC101850889	Signal transduction mechanisms 
LOC101851127	Carbohydrate transport and metabolism 
LOC101851499	Cytoskeleton 
LOC101852021	NA
LOC101852544	NA
LOC101852928	Posttranslational modification, protein turnover, chaperones 
LOC101853163	Intracellular trafficking, secretion, and vesicular transport 
LOC101854083	Amino acid transport and metabolism 
LOC101855255	Transcription 
LOC101856428	Posttranslational modification, protein turnover, chaperones 
LOC101856659	NA
LOC101856896	RNA processing and modification 
LOC101857115	
LOC101858028	NA
LOC101858407	Carbohydrate transport and metabolism 
LOC101858780	RNA processing and modification 
LOC101859329	Replication, recombination and repair 
LOC101859706	Intracellular trafficking, secretion, and vesicular transport 
LOC101859936	Translation, ribosomal structure and biogenesis 
LOC101860895	NA
LOC101861952	Posttranslational modification, protein turnover, chaperones 
LOC101862349	NA
LOC101864224	NA
LOC101864461	NA
LOC101845169	NA
LOC101845400	NA
LOC101846884	NA
LOC101847342	Transcription 
LOC101847586	
LOC101847958	Intracellular trafficking, secretion, and vesicular transport 
LOC101848818	Energy production and conversion 
LOC101849052	Signal transduction mechanisms 
LOC101849460	Posttranslational modification, protein turnover, chaperones 
LOC101850087	Translation, ribosomal structure and biogenesis 
LOC101851189	NA
LOC101851866	NA
LOC101854084	Transcription 
LOC101854328	Signal transduction mechanisms 
LOC101854798	Signal transduction mechanisms 
LOC101855491	NA
LOC101855726	NA
LOC101856264	Lipid transport and metabolism 
LOC101857116	NA
LOC101857570	Carbohydrate transport and metabolism 
LOC101857799	Signal transduction mechanisms 
LOC101859570	NA
LOC101860017	NA
LOC101861207	Signal transduction mechanisms 
LOC101861890	Transcription 
LOC101862114	NA
LOC101862350	Replication, recombination and repair 
LOC101862798	Posttranslational modification, protein turnover, chaperones 
LOC101863436	NA
LOC101863671	Posttranslational modification, protein turnover, chaperones 
LOC101864390	Posttranslational modification, protein turnover, chaperones 
LOC101864620	NA
LOC101845095	Chromatin structure and dynamics 
LOC101845547	Posttranslational modification, protein turnover, chaperones 
LOC101846582	Replication, recombination and repair 
LOC101847037	Translation, ribosomal structure and biogenesis 
LOC101847493	NA
LOC101847725	Signal transduction mechanisms 
LOC101850565	Inorganic ion transport and metabolism 
LOC101850565	Signal transduction mechanisms 
LOC101850803	Signal transduction mechanisms 
LOC101850803	Inorganic ion transport and metabolism 
LOC101855492	NA
LOC101855870	Lipid transport and metabolism 
LOC101857185	Signal transduction mechanisms 
LOC101860098	Lipid transport and metabolism 
LOC101860330	Amino acid transport and metabolism 
LOC101861042	Signal transduction mechanisms 
LOC101861728	NA
LOC101862948	Carbohydrate transport and metabolism 
LOC101863187	Replication, recombination and repair 
LOC101845096	Carbohydrate transport and metabolism 
LOC101845548	Signal transduction mechanisms 
LOC101846351	Inorganic ion transport and metabolism 
LOC101847038	Inorganic ion transport and metabolism 
LOC101847726	Replication, recombination and repair 
LOC101848110	NA
LOC101848355	Transcription 
LOC101848888	Secondary metabolites biosynthesis, transport and catabolism 
LOC101849694	Carbohydrate transport and metabolism 
LOC101850566	Translation, ribosomal structure and biogenesis 
LOC101852408	Replication, recombination and repair 
LOC101852626	Coenzyme transport and metabolism 
LOC101854018	NA
LOC101854950	Cytoskeleton 
LOC101855423	Posttranslational modification, protein turnover, chaperones 
LOC101856266	Intracellular trafficking, secretion, and vesicular transport 
LOC101856512	Intracellular trafficking, secretion, and vesicular transport 
